Lat,gun_alt,tgt alt,mass,GTAz,AOF,v0,range,QE,Max Ord,TOF,Drift,Defl
34.3,321,549,103.5,3394,1234,790,20142,545.3,4641,57,22,1062
40,0,0,103.5,4001,0,790,20155,1064.8,11000,97,70,5669
50,2000,2000,95,2366,0,810.8,20217,1158.9,15612,109,117,951
34.1,1884,1216,103.5,6363,1234,790,20296,1169.2,15551,111,102,4573
50,1000,1000,95,746,0,810.8,20367,518.3,5126,56,24,2478
50,1000,1000,103.5,746,0,790,20367,497.1,4864,55,21,2475
20,1000,1000,95,757,0,810.8,20417,1100.2,13083,103,83,2526
10,1000,1000,103.5,3669,0,790,20428,501.9,4915,55,20,5951
20,0,0,95,2292,0,810.8,20492,1022.6,10441,94,68,976
20,0,0,103.5,2292,0,790,20492,576.9,4662,60,22,930
20,0,0,103.5,4051,0,790,20608,1041.8,10725,95,65,5614
40,1000,1000,95,973,0,810.8,20705,590.9,6065,59,25,2252
34.1,1884,1009,103.5,2420,1234,790,20730,1157.8,15443,111,103,2117
34.3,321,113,103.5,821,1234,790,20857,566.2,4917,60,23,3636
50,0,0,103.5,2563,0,790,20940,617.5,5157,63,26,663
50,0,0,103.5,2563,0,790,20940,1020.1,10474,94,63,700
30,2000,2000,95,2767,0,810.8,21026,1137,15352,108,103,536
40,1000,1000,103.5,4528,0,790,21029,1092.1,12999,101,76,5148
80,0,0,103.5,1879,0,790,21034,629.4,5297,64,27,1348
0,0,0,103.5,2342,0,790,21061,622.9,5224,64,23,881
0,2000,2000,95,3829,0,810.8,21114,491,5964,55,22,5793
0,2000,2000,103.5,3829,0,790,21114,1147.7,15500,108,94,5865
60,2000,2000,103.5,2491,0,790,21146,1144,15452,108,96,805
30,2000,2000,95,1045,0,810.8,21190,491,5988,56,22,2177
60,0,0,103.5,5617,0,790,21190,646,5502,65,27,4010
40,0,0,95,981,0,810.8,21251,950.5,9634,89,56,2275
30,1000,1000,95,266,0,810.8,21289,1061.1,12566,100,72,3006
0,2000,2000,95,689,0,810.8,21390,501.6,6127,57,21,2532
50,0,0,95,4051,0,810.8,21479,731.5,6574,72,35,5584
70,0,0,103.5,740,0,790,21519,973.4,9858,90,54,2514
70,2000,2000,95,5600,0,810.8,21581,518.9,6324,58,25,4025
70,2000,2000,95,5600,0,810.8,21581,1118.6,15053,106,94,4094
60,1000,1000,95,3833,0,810.8,21602,1041.1,12270,98,74,5841
60,1000,1000,103.5,3833,0,790,21602,1064.4,12646,100,72,5839
60,1000,1000,95,5571,0,810.8,21989,644.2,6747,67,31,4060

