Lat,gun_alt,tgt alt,mass,GTAz,AOF,QE,v0,range,Max Ord,TOF,Drift,Defl
0,1000,1000,95,5329,0,164.7,587.6,7150,1357,16,5,4276
0,2000,2000,95,689,0,501.6,810.8,21390,6127,57,21,2532
0,2000,2000,95,3829,0,491,810.8,21114,5964,55,22,5793
0,2000,2000,103.5,3829,0,1147.7,790,21114,15500,108,94,5865
0,2000,2000,103.5,728,0,340.3,682,14803,3722,37,12,2484
0,2000,2000,95,728,0,345.1,699.9,14803,3784,37,13,2485
0,2000,2000,95,5335,0,1227.3,587.6,10983,10719,86,122,4387
0,2000,2000,103.5,5335,0,1229.3,568,10983,10593,85,107,4372
33.8,1980,1850,95,3473,0,1043.3,587.6,15351,9325,81,68,6195
33.8,1980,2075,95,5889,0,186.1,587.6,7663,2435,17,6,3717
33.8,1980,1001,95,1723,0,364.5,810.8,19602,4442,49,20,1497
33.8,1980,1001,95,1723,1234,364.5,810.8,19602,4442,49,20,2731
33.8,1980,974,103.5,4909,1234,1111.6,568,14108,9740,83,70,5995
33.8,1980,797,103.5,5731,1234,1193.6,790,19578,15996,114,121,5224
34.3,321,113,103.5,821,1234,566.2,790,20857,4917,60,23,3636
34.3,321,255,103.5,1031,1234,324.3,682,13445,1821,34,12,3415
34.3,321,399,103.5,1876,1234,185.9,568,7162,745,17,6,2564
34.3,321,858,103.5,3035,1234,336.5,682,12578,1910,31,12,1411
34.3,321,549,103.5,3394,1234,545.3,790,20142,4641,57,22,1062
34.33,1868,63,95,6169,1234,601.7,699.9,20083,6171,64,30,4695
34.33,1868,621,95,29,1234,275.9,587.6,12323,2777,34,13,4418
34.33,1868,2125,95,1262,1234,188.1,587.6,6982,2334,15,6,3178
34.33,1868,1995,95,2245,1234,346.9,699.9,14534,3658,36,14,2203
34.33,1868,1676,95,2418,1234,434.3,810.8,20093,5121,51,21,2037
34.1,1884,1216,103.5,6363,1234,1169.2,790,20296,15551,111,102,4573
34.1,1884,1218,103.5,6313,1234,1138.1,682,16989,12300,96,77,4598
34.1,1884,1724,103.5,948,1234,1221.4,568,11117,10407,85,106,3592
34.1,1884,1011,103.5,2186,1234,1186.7,682,15549,12779,99,102,2350
34.1,1884,1009,103.5,2420,1234,1157.8,790,20730,15443,111,103,2117
34.1,1884,1884,103.5,0,1234,202.8,682,10994,2585,23,7,4441
34.1,1884,1884,103.5,3200,1234,202.9,682,10994,2585,23,8,1242
34.1,1884,1884,103.5,0,1234,1086.5,682,17991,11778,91,65,4499
34.1,1884,1884,103.5,3200,1234,1086,682,17991,11775,91,71,1305
